item_l,item_w,item_h,weight,fragile,stackable,can_rotate,wh_l,wh_w,wh_h,target_x,target_y,target_z,target_rot
1.04,0.33,0.48,10.87,0,1,1,39.1,19.5,5.4,1.5199999809265137,2.194999933242798,0.0,0
1.03,0.47,0.47,11.44,0,1,1,39.1,19.5,5.4,1.2350000143051147,1.5149999856948853,0.0,1
1.18,0.8,0.53,14.25,0,1,1,39.1,19.5,5.4,3.3785088062286377,1.3987460136413574,0.0,0
1.15,0.42,0.44,14.77,1,0,1,39.1,19.5,5.4,6.467759463012211,3.0681011155511015,0.0,1
0.56,0.42,0.38,11.9,0,0,1,39.1,19.5,5.4,3.578509073257446,2.708746156692505,0.0,0
0.77,0.53,0.55,20.39,0,1,1,39.1,19.5,5.4,2.3122136913746143,3.4181414633647798,0.0,1
1.16,0.42,0.41,14.27,1,0,1,39.1,19.5,5.4,8.041204452514648,6.974970817565918,0.0,1
0.8,0.55,0.55,20.9,0,1,1,39.1,19.5,5.4,1.6239374876022339,3.114171266555786,0.0,1
0.94,0.58,0.28,12.46,1,0,1,39.1,19.5,5.4,6.809924602508545,6.957793712615967,0.0,1
0.81,0.57,0.27,9.54,0,1,1,39.1,19.5,5.4,1.8750000143051149,1.2849999856948853,0.0,0
0.65,0.41,0.59,10.33,1,0,1,39.1,19.5,5.4,7.1450000000000005,1.325,0.0,1
1.15,0.4,0.49,13.72,0,1,1,39.1,19.5,5.4,3.0985090732574463,2.373746156692505,0.0,1
0.64,0.42,0.57,10.52,1,0,1,39.1,19.5,5.4,6.8399248123168945,7.637794017791748,0.0,0
1.13,0.43,0.45,13.52,0,1,1,39.1,19.5,5.4,7.586026668548584,2.26589035987854,0.0,1
1.1,0.35,0.49,12.27,1,0,1,39.1,19.5,5.4,3.2099995613098145,6.331429958343506,0.0,0
0.7,0.45,0.62,13.2,0,1,1,39.1,19.5,5.4,3.523509073257446,2.148746156692505,0.0,1
1.07,0.54,0.56,19.4,1,0,1,39.1,19.5,5.4,6.27,1.5350000000000001,0.0,1
1.16,0.66,0.61,20.14,0,0,1,39.1,19.5,5.4,2.5685088634490967,2.3787460327148438,0.0,1
1.17,0.4,0.46,14.54,1,0,1,39.1,19.5,5.4,6.74,1.585,0.0,1
0.8,0.55,0.59,19.41,1,0,1,39.1,19.5,5.4,1.5938752889633179,6.855315208435059,0.0,0
1.15,0.39,0.49,13.4,0,1,1,39.1,19.5,5.4,6.195,6.575,0.0,1
0.68,0.41,0.58,11.18,0,1,1,39.1,19.5,5.4,6.859924793243408,6.282793998718262,0.0,0
1.09,0.54,0.57,18.66,1,0,1,39.1,19.5,5.4,2.71919144106514,7.08488466633219,0.0,1
0.76,0.4,0.54,8.41,1,0,1,39.1,19.5,5.4,8.026841163635254,3.449239730834961,0.0,1
1.11,0.52,0.65,19.48,0,0,1,39.1,19.5,5.4,1.8730387687683105,7.803839683532715,0.0,1
0.81,0.58,0.25,9.66,1,0,1,39.1,19.5,5.4,1.405,6.29,0.0,0
0.71,0.4,0.61,12.46,1,0,1,39.1,19.5,5.4,1.8250000143051148,1.7699999856948854,0.0,0
0.72,0.53,0.42,21.07,0,1,1,39.1,19.5,5.4,3.3439526557922363,7.001553058624268,0.0,1
1.19,0.77,0.28,15.22,0,1,1,39.1,19.5,5.4,3.1722136913746137,3.4181414633647798,0.0,0
0.77,0.34,0.36,15.98,1,0,1,39.1,19.5,5.4,1.3849999809265137,2.529999933242798,0.0,0
0.64,0.43,0.61,10.84,1,0,1,33.9,37.6,10.0,3.6451389694213865,2.434707689285278,0.0,0
0.67,0.41,0.6,11.2,0,1,1,33.9,37.6,10.0,2.4450013637542725,3.056441307067871,0.0,1
0.82,0.39,0.35,11.58,0,1,1,33.9,37.6,10.0,3.2878246307373047,2.9379405975341797,0.0,0
0.64,0.42,0.58,11.28,1,0,1,33.9,37.6,10.0,2.430217742919922,8.107041358947754,0.0,1
0.76,0.45,0.52,6.32,0,1,1,33.9,37.6,10.0,1.7549999856948855,1.7299998712539675,0.0,1
0.67,0.42,0.62,11.21,0,1,1,33.9,37.6,10.0,8.660533905029297,8.122465133666992,0.0,1
0.62,0.4,0.34,12.62,1,0,1,33.9,37.6,10.0,3.015139102935791,1.2497076988220215,0.0,0
1.13,0.37,0.49,12.27,1,0,1,33.9,37.6,10.0,1.564999985694885,2.994999871253967,0.0,0
0.53,0.32,0.43,6.47,0,1,1,33.9,37.6,10.0,1.2649999856948853,1.5099998712539673,0.0,0
0.67,0.41,0.6,11.02,1,0,1,33.9,37.6,10.0,6.437134563615388,2.741457268130314,0.0,0
1.14,0.43,0.44,12.78,1,0,1,33.9,37.6,10.0,1.2149999856948852,2.2399998712539673,0.0,1
1.16,0.4,0.46,14.16,0,1,1,33.9,37.6,10.0,3.0512249220505208,2.035164735560359,0.0,1
0.78,0.5,0.62,19.74,1,0,1,33.9,37.6,10.0,3.507882595062256,3.6534013748168945,0.0,0
1.16,0.41,0.39,15.11,0,1,1,33.9,37.6,10.0,3.202029228210449,7.1928253173828125,0.0,1
0.81,0.59,0.28,10.24,1,0,1,33.9,37.6,10.0,6.405,1.295,0.0,0
1.08,0.52,0.34,15.98,1,0,1,33.9,37.6,10.0,2.0699999856948854,2.3699998712539676,0.0,0
0.8,0.56,0.44,16.13,0,1,1,33.9,37.6,10.0,7.362863540649414,2.6807661056518555,0.0,1
0.67,0.41,0.54,9.22,1,0,1,33.9,37.6,10.0,1.334999985694885,3.3849998712539673,0.0,0
1.17,0.66,0.29,11.26,1,0,1,33.9,37.6,10.0,3.6551389694213867,1.6347076892852783,0.0,1
0.78,0.53,0.58,20.29,0,1,1,33.9,37.6,10.0,6.367134563615387,2.1464572681303142,0.0,1
1.14,0.45,0.31,12.38,1,0,1,33.9,37.6,10.0,7.652863502502441,3.3057658672332764,0.0,0
1.1,0.5,0.53,16.6,0,1,1,33.9,37.6,10.0,1.4378557781258077,6.6210135350697925,0.0,1
1.09,0.35,0.48,11.09,0,1,1,33.9,37.6,10.0,1.5450000762939453,1.1749999523162842,0.0,0
1.08,0.45,0.5,12.72,1,0,1,33.9,37.6,10.0,2.047971270319356,6.570787411284921,0.0,1
1.18,0.78,0.61,14.98,0,1,1,33.9,37.6,10.0,7.2929887771606445,6.81179666519165,0.0,1
0.77,0.53,0.52,20.91,1,0,1,33.9,37.6,10.0,2.3550000762939454,1.3849999523162841,0.0,1
1.14,0.42,0.47,14.36,1,0,1,33.9,37.6,10.0,3.6170294284820557,7.182825565338135,0.0,1
0.81,0.59,0.44,18.51,0,1,1,33.9,37.6,10.0,2.7128825187683105,3.69840145111084,0.0,0
1.04,0.33,0.47,11.02,1,0,1,33.9,37.6,10.0,8.216837882995605,7.579585552215576,0.0,1
0.83,0.32,0.32,14.65,1,0,1,33.9,37.6,10.0,1.4915532493591308,3.786635913848877,0.0,0
1.17,0.72,0.63,18.36,0,1,1,39.0,24.8,9.0,2.271653175354004,2.2387423515319824,0.0,1
0.92,0.59,0.38,15.25,1,0,1,39.0,24.8,9.0,1.46,6.295,0.0,0
1.18,0.79,0.58,15.74,1,0,1,39.0,24.8,9.0,8.229027238466673,7.802477992207428,0.0,1
0.67,0.42,0.61,11.04,1,0,1,39.0,24.8,9.0,6.94,6.335,0.0,1
1.09,0.56,0.23,14.69,1,0,1,39.0,24.8,9.0,7.674872463519602,3.102332794690723,0.0,1
0.67,0.41,0.59,10.19,0,1,1,39.0,24.8,9.0,2.9616761207580566,7.538382053375244,0.0,1
0.68,0.41,0.55,12.16,1,0,1,39.0,24.8,9.0,3.7941400250130806,3.537149885876059,0.0,1
0.57,0.42,0.35,11.98,0,1,1,39.0,24.8,9.0,2.701653242111206,3.108742456436157,0.0,1
0.67,0.41,0.61,10.66,1,0,1,39.0,24.8,9.0,3.504999933242798,1.205000047683716,0.0,0
0.58,0.43,0.57,9.48,0,1,1,39.0,24.8,9.0,8.369872463519602,1.6773327946907233,0.0,1
0.81,0.54,0.57,19.39,1,0,1,39.0,24.8,9.0,6.766647815704346,7.713448524475098,0.0,1
0.73,0.46,0.61,13.6,0,0,1,39.0,24.8,9.0,7.059669971466065,1.4061180591583253,0.0,1
0.82,0.59,0.41,15.54,0,1,1,39.0,24.8,9.0,3.3291400250130807,2.9021498858760593,0.0,0
1.18,0.79,0.47,15.8,0,1,1,39.0,24.8,9.0,6.4346699714660645,1.6311180591583252,0.0,1
0.86,0.58,0.22,12.75,0,1,1,39.0,24.8,9.0,2.201653242111206,3.2537424564361572,0.0,1
1.17,0.76,0.19,20.18,0,1,1,39.0,24.8,9.0,3.2991400250130805,2.0221498858760594,0.0,1
1.18,0.79,0.53,14.63,0,1,1,39.0,24.8,9.0,1.8073524236679077,7.487196922302246,0.0,1
0.91,0.29,0.46,8.24,0,1,1,39.0,24.8,9.0,3.824140025013081,1.8921498858760595,0.0,1
1.07,0.46,0.47,12.11,0,1,1,39.0,24.8,9.0,8.297964096069336,3.4686529636383057,0.0,1
0.67,0.41,0.6,11.02,1,0,1,39.0,24.8,9.0,8.672477722167969,6.408576965332031,0.0,1
0.89,0.41,0.47,9.27,0,1,1,39.0,24.8,9.0,2.7249999332427977,1.205000047683716,0.0,0
0.79,0.26,0.43,7.52,0,1,1,39.0,24.8,9.0,1.4307618141174316,3.2539567947387695,0.0,1
0.8,0.55,0.55,20.55,1,0,1,39.0,24.8,9.0,1.4,1.275,0.0,0
0.83,0.3,0.3,14.13,1,0,1,39.0,24.8,9.0,8.774027238466674,7.627477992207428,0.0,1
0.79,0.73,0.3,14.91,1,0,1,39.0,24.8,9.0,6.365,6.395,0.0,1
0.46,0.35,0.53,3.59,1,0,1,39.0,24.8,9.0,2.666653242111206,3.623742456436157,0.0,1
0.85,0.53,0.58,19.27,1,0,1,39.0,24.8,9.0,1.4249999999999998,1.815,0.0,0
0.67,0.41,0.6,10.78,0,1,1,39.0,24.8,9.0,3.2541400250130805,3.4021498858760593,0.0,0
0.65,0.42,0.62,10.56,0,1,1,39.0,24.8,9.0,2.069999933242798,1.3250000476837158,0.0,1
0.73,0.49,0.63,15.87,1,0,1,39.0,24.8,9.0,1.3649999999999998,2.325,0.0,0
1.11,0.52,0.57,17.85,0,1,1,38.3,29.8,6.2,2.8029587268829346,2.905297040939331,0.0,1
1.13,0.38,0.49,13.45,1,0,1,38.3,29.8,6.2,1.1900000667572022,2.614999976158142,0.0,1
0.61,0.3,0.29,4.18,0,1,1,38.3,29.8,6.2,1.3050000667572021,1.899999976158142,0.0,0
1.07,0.56,0.43,17.59,0,1,1,38.3,29.8,6.2,3.0198888778686523,1.286231279373169,0.0,0
1.08,0.57,0.25,14.36,0,1,1,38.3,29.8,6.2,1.8122093677520752,2.915686845779419,0.0,1
0.53,0.43,0.5,9.02,1,0,1,38.3,29.8,6.2,6.264999809265136,2.1750000429153444,0.0,0
1.16,0.4,0.48,13.94,0,0,1,38.3,29.8,6.2,8.497556284836328,1.8071218728999594,0.0,1
0.55,0.42,0.38,11.28,1,0,1,38.3,29.8,6.2,6.2099998092651365,1.6850000429153442,0.0,1
0.75,0.75,0.38,14.28,0,1,1,38.3,29.8,6.2,1.375,1.375,0.0,0
1.17,0.71,0.17,21.3,0,1,1,38.3,29.8,6.2,6.590318202972412,6.742814540863037,0.0,1
0.65,0.41,0.59,11.2,1,0,1,38.3,29.8,6.2,2.867958726882935,3.665297040939331,0.0,0
1.18,0.8,0.59,14.62,1,0,1,38.3,29.8,6.2,7.299448432922363,2.580941591262817,0.0,0
0.78,0.52,0.62,19.96,1,0,1,38.3,29.8,6.2,2.170000042915344,6.389999847412109,0.0,1
0.76,0.54,0.5,21.22,1,0,1,38.3,29.8,6.2,1.9900000095367432,2.0199999809265137,0.0,0
0.65,0.41,0.6,10.71,0,1,1,38.3,29.8,6.2,1.9550000429153442,1.3250000476837158,0.0,1
0.81,0.32,0.36,16.01,1,0,1,38.3,29.8,6.2,7.480780601501465,3.513702392578125,0.0,1
1.18,0.8,0.56,14.47,1,0,1,38.3,29.8,6.2,2.830000042915344,6.589999847412109,0.0,1
1.15,0.4,0.49,13.61,1,0,1,38.3,29.8,6.2,2.2972093677520755,2.950686845779419,0.0,1
0.77,0.51,0.54,20.96,0,1,1,38.3,29.8,6.2,3.3255271911621094,7.72434663772583,0.0,1
0.81,0.58,0.4,14.63,1,0,1,38.3,29.8,6.2,7.664448432922363,1.7009415912628174,0.0,1
0.77,0.55,0.59,6.75,0,1,1,38.3,29.8,6.2,6.984448432922363,1.7959415912628174,0.0,1
0.91,0.57,0.25,11.44,0,1,1,38.3,29.8,6.2,1.4550000429153442,6.284999847412109,0.0,0
0.64,0.42,0.58,10.66,1,0,1,38.3,29.8,6.2,1.2100000667572022,3.4999999761581417,0.0,1
1.15,0.41,0.49,13.98,1,0,1,38.3,29.8,6.2,6.574999809265137,1.2050000429153442,0.0,0
0.75,0.52,0.62,18.2,1,0,1,38.3,29.8,6.2,6.700780391693115,3.6137022972106934,0.0,1
0.79,0.53,0.59,20.33,1,0,1,38.3,29.8,6.2,8.316515922546387,3.4393181800842285,0.0,1
1.11,0.54,0.23,13.82,1,0,1,38.3,29.8,6.2,3.620000009536743,2.304999980926514,0.0,1
0.7,0.39,0.57,11.99,0,1,1,38.3,29.8,6.2,1.8742770615720605,3.798772075725517,0.0,0
0.77,0.52,0.6,19.48,1,0,1,38.3,29.8,6.2,3.5696387355083665,3.5122057171041963,0.0,1
0.98,0.53,0.55,19.26,1,0,1,38.3,29.8,6.2,2.8600000095367433,2.014999980926514,0.0,0
